Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;21100812243;"Nature Reviews Materials";journal;"20588437";21,836;Q1;184;117;335;8842;13775;196;31,17;75,57;26,86;1;22;United Kingdom;Western Europe;"Nature Publishing Group";"2016-2023";"Biomaterials (Q1); Electronic, Optical and Magnetic Materials (Q1); Energy (miscellaneous) (Q1); Materials Chemistry (Q1); Surfaces, Coatings and Films (Q1)";"Energy; Materials Science"
2;21100812579;"Nature Energy";journal;"20587546";17,497;Q1;229;229;609;6629;16808;379;26,18;28,95;29,53;9;97;United States;Northern America;"Springer Nature";"2016-2023";"Electronic, Optical and Magnetic Materials (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Materials Science"
3;21101142543;"Nano Research Energy";journal;"27910091, 27908119";14,707;Q1;32;46;35;4815;2160;34;61,71;104,67;36,44;0;23;China;Asiatic Region;"Tsinghua University Press";"2022-2023";"Chemistry (miscellaneous) (Q1); Energy (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1)";"Chemistry; Energy; Materials Science"
4;21101141505;"eScience";journal;"20972431, 26671417";12,288;Q1;44;60;79;4858;3323;78;42,06;80,97;33,06;0;35;China;Asiatic Region;"KeAi Communications Co.";"2021-2023";"Electrochemistry (Q1); Materials Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Chemistry; Energy; Materials Science"
5;21100834904;"Joule";journal;"25424351";11,724;Q1;187;218;681;10656;18624;525;25,40;48,88;25,06;7;150;United States;Northern America;"Cell Press";"2017-2023";"Energy (miscellaneous) (Q1)";"Energy"
6;17500155114;"Energy and Environmental Science";journal;"17545692, 17545706";10,935;Q1;436;461;1124;37113;36095;1117;30,56;80,51;29,72;2;302;United Kingdom;Western Europe;"Royal Society of Chemistry";"2008-2023";"Environmental Chemistry (Q1); Nuclear Energy and Engineering (Q1); Pollution (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Environmental Science"
7;21100199127;"Advanced Energy Materials";journal;"16146832, 16146840";8,748;Q1;319;979;2210;75985;59605;2195;25,38;77,61;30,16;2;635;Germany;Western Europe;"John Wiley and Sons Inc.";"2011-2023";"Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Materials Science"
8;21100873499;"Nature Sustainability";journal;"23989629";7,366;Q1;115;250;516;9291;10802;379;18,52;37,16;34,58;34;156;United Kingdom;Western Europe;"Nature Publishing Group";"2018-2023";"Ecology (Q1); Food Science (Q1); Geography, Planning and Development (Q1); Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1); Renewable Energy, Sustainability and the Environment (Q1); Urban Studies (Q1)";"Agricultural and Biological Sciences; Energy; Environmental Science; Social Sciences"
9;21100832985;"ACS Energy Letters";journal;"23808195";7,202;Q1;195;606;1443;30127;28217;1382;18,42;49,71;30,17;0;335;United States;Northern America;"American Chemical Society";"2016-2023";"Chemistry (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Materials Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Chemistry; Energy; Materials Science"
10;21101046230;"Electrochemical Energy Reviews";journal;"25208136, 25208489";6,791;Q1;62;34;93;8854;2587;93;26,49;260,41;29,13;0;26;Germany;Western Europe;"Springer Science and Business Media B.V.";"2018-2023";"Chemical Engineering (miscellaneous) (Q1); Electrochemistry (Q1); Energy Engineering and Power Technology (Q1); Materials Science (miscellaneous) (Q1)";"Chemical Engineering; Chemistry; Energy; Materials Science"
